FullName,daao_bios
Ken Searle,
Udo Sellbach,"
printmaker, was born in Cologne, Germany. Studied Kölner Werkschulen, Cologne, 1947-1953, where he organised a print workshop, Kölner Presse. Came to Australia in 1955 and held a joint exhibition of prints with Karen Schepers. Lecturer in printmaking South Australian School of Art 1960-1963; Royal Melbourne Institute of Technology, Melbourne, Vic.1965-1971; Canberra School of Art {1980s-1993?}. Founding member of the Print Council of Australia, along with Graham King, in 1966. Goya-influenced prints of 1966 include 'The Target is Man’ (illustrated in Bernard Smith, 'The Sellbach Etchings’, Overland 34, May 1966, 24-28). He had hard edge works in 'The Field’, National Gallery of Victoria, Melbourne, Vic. 1968. Foundation member of the Australia Council’s Visual Arts and Crafts Board in 1973 and of the Tasmanian Arts Advisory Board. Head of the School of Art at Tasmania College of Advanced Education, Hobart 1971-1977 [McCulloch says 1972 78], then went to Brisbane [Canberra from 1978 to present acc. McCulloch]; returned to Hobart 1993.
IMAGE: Nightwatch series 1993 (extended from a commission by the Queensland Law Society) consists of 30 b/w aquatints in a very European style; subjects range from enigmatic mockery to severe indictment of the human species. Tasmanian Museum and Art Gallery, Hobart, Tas.(#5663.1) has 1990 artist’s proof of men running round a rock with a figure, probably female, playing a pipe on the top; also (#5663.2) 1990 artist’s proof of men looking at a woman chopped into pieces, clearly two of a series.
This entry is a stub. You can help the DAAO by submitting a biography.


"
Martin Sharp,"
painter, cartoonist and art director, was born in Bellevue Hill [Rose Bay, acc. NGA], Sydney, on 21 January 1942. He attended Cranbrook 1952-59. While studying art at East Sydney Technical College in 1960 he submitted cartoons to the Bulletin . In 1961 he enrolled in Architecture at university (SU and/or UNSW). He was in trouble for obscenity for the cartoon The Gas Lash in the UNSWstudent publication Tharunka’s 1964 Orientation Week issue. Fifty years … says that he contributed both to Tharunka and Sydney University’s Honi Soit . In his third year of Architecture he returned to ESTC to study art, completing three of the five years of the course. In 1962 he won the Mirror Art Award. In 1963-64 he attended the Mary White Art School at the Rocks while simultaneously (1963-65 [1962-64 [ sic ] acc. McCulloch]) working as art director of Oz and being its major contributor of drawings and cartoons. The prosecution of Oz in 1964 for breach of the Obscene and Indecent Publications Act concentrated on a Sharp cartoon, The Word Spread Round the Arms (about an Ocker surfie), published in issue 6 (February; almost the same time as the similarly controversial The Gas Lash in Tharunka ), which consisted (almost) only of words (ill. Lindesay WWW , 159). Within weeks of Tharunka’s editors being convicted over The Gas Lash , Neville and Walsh were sentenced to six months gaol with hard labour and Sharp to four months, though all three were later released on bail pending an appeal, which was upheld. According to Coleman (p.12):
“The case caused such a sensation that it figured in the 1965 State election when the Opposition Leader Bob Askin, following Oz , made it his policy to abolish censorship. He won the election and that was the end of trial-by-magistrates in obscenity cases in New South Wales. It all added to the glory of Oz , Martin Sharp and cartoonists.”
A subsequent $300,000 libel suit, the departure of Sharp and Neville for England via Asia in 1966 to establish London Oz , the cancellation of advertising and the continued refusal of Gordon & Gotch to distribute Oz finally resulted in its demise (Lindesay, WWW , 156-160).
In December 1965 Sharp held a solo exhibition, Art for Mart’s Sake , at Clune Galleries, Potts Point. Martin Sharp Cartoons was published in 1966. Some of his cartoons also appeared in the Sydney Morning Herald , e.g. one about Prince Charles coming to school in Australia in 1965: “I sincerely hope he’s funnier than his father” . Others are [Aborigine in garbage tin with man bending over it] “You wouldn’t give us any trouble like those boongs in Los Angeles, would you Jacky” n.d. (ill. Coleman & Tanner, 74, 184). His cartoon Loading Up , published in the Australian 1965, about the Menzies government arms’ spending increase, is ill. King, 174.
Sharp lived and worked in London in 1967-69. He came back to Australia in 1970 then returned to collect his portable artworks for The Incredible Shrinking Exhibition group show, which opened at the Yellow House on 1 April 1971. He remained in London 1971-72 painting murals and publishing his Art Book etc..
Hamilton Art Gallery owns Sharp’s etching of Luna Park, Just For Fun? (clown on stage) 1981, ill. Hansen, cat.260 (the Hogarth Gallery’s copy was used in the 1999 S.H. Ervin Gallery show). Posters designed for the Nimrod Theatre are at ML POSTERS 810/1-7. On 4 March 2001 Dahlia Stanley was auctioning his silkscreen prints, Tiny Tim Eternal Troubadour Opera House 1982 , Kaspar (Nimrod November 7), The Venetian Twins and Art Sale for Land Rights n.d.


"
Rod Shaw,"
painter, graphic artist, cartoonist and printer, was born on 17 September 1915 at Drummoyne, Sydney. After helping milk cows on his parents’ farm at the beginning of the Depression, he served an apprenticeship as a commercial artist during the Depression then studied at East Sydney Technical College [ESTC] in the late 1930s. He helped form the Windsor Group, which painted landscapes around Windsor (see catalogue) and married actress Frances Cottingham. After about four years in the RAAF (at the Commonwealth Aircraft Factory, acc. Fox), he exhibited in the 'Australia at War’ exhibition (National Gallery of Victoria, 1945), winning a first prize for one of his paintings of Civil Construction Workers.
A member of the Communist Party of Australia, Rod Shaw was one of the founders of the Studio of Realist Art [SORA] in 1945, a body set up partly in dissatisfaction with the Contemporary Art Society (which had sided against Dobell in the 1944 Archibald Prize case). He was most active in its public programs; he showed work at the annual exhibitions, wrote and published its regular bulletins, organised art classes and taught drawing to interested Waterside Workers. After the war, with Dick Edwards, he founded the publishing company of Edwards & Shaw, which produced some of the finest art and poetry books seen in Australia; one of the last was James Mollison’s Fred Williams Etchings . It also published, for the Council of Civil Liberties, the banned report of the English trial of Penguin Books for publishing Lady Chatterley’s Lover . He was also on the editorial board of Helen Palmer’s democratic-socialist journal Outlook , for which he drew cartoons and other humorous illustrations (Fox).
Despite having little time for painting, Shaw painted Cable Layers for the 1946 NSW Travelling Art Scholarship. He did not win, but after the oil was shown at SORA that year it was purchased by the Art Gallery of New South Wales. In 1947 (with Nan Hortin , John Oldham and Kevin Lynch ) he participated in the Australian section of the British Empire Exhibition at the Royal Easter Show, painting portraits of Henry Lawson, John Macarthur and Peter Lalor. His Pyrmont Washing (originally titled Washing Out, White Bay Cutting ) of 1948 was exhibited in that year’s SORA show (ill. Merewether). In the early 1950s he and others (including Hortin) began painting a large mural in the Waterside Workers Federation offices depicting the story of the Labor Movement from the 1890s strikes onwards.
By the mid-1970s Shaw’s own paintings had turned more towards figurative abstraction, but he produced little because he was increasingly involved in publishing and teaching. He contributed articles and illustrations to Overland , eg 'Dear Stephen’ no. 56 (Spring 1973), 23. Later he taught at Sydney University’s Tin Sheds and at ESTC. He died in December 1992 (see obit. Sydney Morning Herald , 8 December).
The Roderick Shaw collection of commercial illustrations, art posters and cartoons 1940-90 (Mitchell Library PXD 836) includes his business card; three pen drawings of Bathurst Island people, one dated 1942; drawings for magazines articles, stories and festivals; prints; four Aboriginal designs by Aboriginal artists in an A4 envelope (presumably 1942); four sketchbooks and loose leaves from sketchbooks; 13 political cartoons by 'Schweik’ (a pseudonym) and four other b/w drawings.


"
Garry Shead,"
Garry James Shead, painter, print maker, cartoonist, photographer and film maker, was born in 1942 in Sydney’s northern suburbs. Shead grew up in the suburb of Gordon, attended the local primary school and then moved on to Shore (Church of England Grammar School, North Sydney) for secondary school in the 1950s. While at Shore, Shead won the art prize each year and was admitted to the National Art School (NAS) in the Sydney suburb of Darlinghurst in 1961.
While at the NAS Shead began shooting his first experimental film, Ding a Ding Day, starring Jon Crothers, Richard Neville and Martin Sharp . In 1961, Shead’s portrait of his sister Lynne was hung in the Archibald exhibition, making him one of the youngest exhibitors for the prize. Also in 1961 Shead first appeared as a cartoonist in The Bulletin , Honi Soit and the Sydney Morning Herald . He became a regular contributor to Oz magazine after its founding in 1963.
At the end of 1962 Shead left the NAS without completing his studies and, after a period of unemployment, commenced work as a scenic artist with ABC Television in 1963.
In 1966 Shead held his first solo exhibition at the Watters Gallery in Sydney. Entitled 'Wahroonga Lady and her naked lunch’, it featured erotic painted collages of North Shore matrons naked on their front lawns. The exhibition caused controversy and was visited by the police although no paintings were seized.
In the late 1960s Shead travelled to the Sepik Highlands of New Guinea on a film expedition. It was while he was in New Guinea that Shead discovered the letters of DH Lawrence, written while Lawrence was in Australia in 1922, which so heavily influenced Shead’s later work.
In the early 1970s Shead became close friends with Brett and Wendy Whiteley. Brett Whiteley shared Shead’s interest in DH Lawrence and in 1973 they travelled to Thirroul, south of Sydney, where Lawrence and his wife had lived in 1922. While there the two collaborated on a diptych Portrait of DH Lawrence which they sold in 1973. Shead’s share of the proceeds paid his airfare to Paris where he lived for six months with his wife and young daughter Gria.
During the 1970s Shead continued to make experimental films, although painting took up more of his time. In 1974 he collaborated with Martin Sharp and Peter Kingston to paint monumental murals at Luna Park, an amusement park on Sydney’s north shore.
Shead again travelled to Europe in the early 1980s, living as artist in residence in Vence, France (the place where DH Lawrence had died) in 1981. Here he met his third wife, Judit Englert, and lived with her for a year in Budapest.
The couple moved back to Australia in 1983 and finally settled in Bundeena, in the Royal National Park south of Sydney, in 1987. That year Shead embarked on the first of the 'Outback’ series of paintings, the first in which his lyrical style came to the fore. Those paintings, along with the 'Bundeena’ series in 1990, paved the way for Shead’s distinctive style to emerge in the breakthrough 'DH Lawrence’ series.
Living in the Australian bush with his European wife inspired Shead to include not only DH Lawrence in his work, but also Lawrence’s wife Frieda (the German born Baroness von Richthofen) modeled on Shead’s wife Judit. Placing a European woman against the Australian bush began with the 'DH Lawrence’ series of paintings and became a recurring theme in Shead’s work.
The 'DH Lawrence’ series was exhibited seven times during 1992-93, including a selection at the Art Gallery of NSW. With its brooding native animals and ethereal figures, the series was hugely successful for Shead and represents a watershed in his career. Shead used Lawrence’s novel Kangaroo as a springboard for the scenes in some of the works, including the figures of the kangaroo, cockatoo and currawong as the spirit of the Australian landscape brooding over the alien European visitors.
In 1993 Shead won the prestigious Archibald Prize for his portrait of publisher Tom Thompson, further entrenching his commercial success.
In 1994 Shead commenced 'The Royal Suite’ series, which was inspired by his memories of the first Royal visit to Australia in 1954. Tied up in Shead’s pre-pubescent eroticism, the series again focuses on the progress of a European woman through the Australian landscape, again employing the native animals as spiritual guides and guardians. Deliberately subversive, the paintings make subtle comments on the treatment of Aboriginal people as well as establishing Shead’s visual vocabulary of wattle sprigs and embracing couples.
In 1999 Shead commenced the 'Artist and the Muse’ series, again focusing on the female nude, this time in her role as inspiration for the works of old masters such as Velázquez, Rembrandt and Goya. Early in 2000 Shead began painting a series of religious paintings, placing Christ within the Bundeena landscape and using the sulphur crested cockatoo to symbolize the Holy Spirit.
In 2002, following the outbreak of the second Iraq war, Shead commenced work on the series 'The Apotheosis of Ern Malley’. Ern Malley was a fictitious poet, invented by James McAuley and Harold Stewart, whose poetry caused a media frenzy when it was published in 1944 and the merits of which have been hotly debated ever since. Similarly to the 'DH Lawrence’ series, Shead used the text of Ern Malley’s poetry, along with the description of his fictitious life, as inspiration for a series of paintings exploring Australian iconography. The Ern Malley paintings cast the fictitious poet as an Australian martyr who dies tragically young, is resurrected and ultimately deified. Rich in Shead’s uniquely Australian iconography, the paintings comment on Shead’s own mortality as well as the marginal place artists hold in Australian society. As part of the 'Ern Malley’ series, Shead collaborated with potter Lino Alvarez Carrasco to produce large painted urns displaying scenes from Ern Malley’s life and poetry. Colloquy with John Keats , a drawing from the 'Ern Malley’ series, was awarded the Dobell Prize for drawing in 2004.
In 2007, following the death of his wife from pancreatic cancer, Shead exhibited a series of paintings to accompany Judit Shead’s sculptures. Based loosely on the 'DH Lawrence’ series, the paintings show Judit, his wife and muse, slipping away from the earth-bound artist. After Judit’s death Shead continued to live and work in Bundeena, south of Sydney.


"
Paddy Japaljarri Sims,"
Born c.1917 at Mt Nicker, NT, south-west of Yuendumu at the site of Kunajarrayi, which is associated with the Initiated Ngarrka (Men) and Warna (Snake) Dreamings. He is Warlpiri and lives at Yuendumu, where he is one of the leading artists in the community. He was one of the main artists and motivators of the Yuendumu Doors project, and collaborated with Larry Jungarrayi Spencer , Jimija Jungarrayi and Paddy Jupurrurla Nelson on the painting of Munga Star Dreaming which was purchased by the National Gallery of Australia from the first Yuendumu exhibition in Sydney in 1985. The artist paints Yiwarra (Milky Way), Ngarlkirdi/Warna (Witchetty Grub/Snake), Pirntirna (Woma Python), Liwirringki (Burrowing Skink), Wanakiji (Bush Plum) and Walpa (Wind) Dreamings. His work has been in numerous group exhibitions of Warlukurlangu Artists throughout Australia since the Yuendumu painters’ first show at the Araluen Arts Centre in Alice Springs in October 1985. His paintings have also been shown in major overseas exhibitions including the Dreamings exhibition which toured North America in 1988-9 and l'été Australien at Musée Fabre, Montepellier, France, 1990. In 1988 Paddy Sims was selected by the Power Gallery, Sydney University, to travel to Paris with five other Warlpiri men from Yuendumu to create a ground painting installation at the exhibition Magiciens de la Terre at the Centre Georges Pompidou in Paris. The trip took place in 1989 and the painting met with wide acclaim.


"
Jeffrey Smart,"
Jeffrey Smart was born in Adelaide on July 26, 1921, as the only son of Francis Isaac Smart, a real estate agent and his second wife, Emmeline Mildred (nee Edson). His elder half-sister was from his father’s first marriage. He first travelled to Europe when he was a child of four, but after the Great Depression destroyed his father’s business, life became more confined. Nevertheless he was able to take Saturday drawing classes from the age of 12. His early interest was in architecture, but financial reality meant that he became a trainee teacher instead. He also attended classes at the South Australian School of Arts and Crafts.He was fortunate that the pioneer modernist, Dorrit Black had returned to Adelaide and it was she who first introduced him to the clean pure lines and cubic forms of modernism. He began teaching school in 1941,the same year he first exhibited with the Royal South Australian Society of Arts. He then approached a Melbourne commercial gallery, where he held his first solo exhibition. His clear-toned smooth painted geometric urban landscapes, where human figures sometimes appear as an intrusion, led him to be seen as an inoffensive modernist, an artist who could straddle both the Charm School and Surrealism.He first travelled to Europe as an adult in 1948. His experience of the great European collections, especially the work of Cezanne which he saw in Paris,and the work of the Quattrocento Italian artists helped mature his own vision. Smart returned to Adelaide in 1951 and after he was awarded the Commonwealth Jubilee Art Prize he moved to Sydney, where there were opportunities to exhibit his art.In Sydney he became the art critic of the Daily Telegraph, while continuing to support himself by working as a school teacher. Later he became the beloved Phidias, the art expert, at the ABC Radio children’s Argonauts program. Later he made the transition to television. As he became more successful as an artist Smart was able to leave school teaching and taught for a short time at East Sydney Technical College.In 1963 he was able to leave teaching and relocate to Italy where he was based for the rest of his life. Although he was surrounded by antiquity, the subjects he chose for his art tended to be those from modernity. He was entranced by the giant cubic shapes of industrial containers, empty streets, the absurd conjunction of old and new, of nature meeting geometry.Smart continued to exhibit in Australia for the rest of his life. He held exhibitions in public galleries as well as dealer galleries, and he was the subject of significant public praise. The Art Gallery of New South Wales held a retrospective exhibition of his paintings in 1999.As with many of his generation, Smart was hesitant at first to declare his sexuality, but later wrote a memoir, Not Quite Straight. His longest, and most loving relationship was with a fellow artist, Ermes de Zan who was with him from 1976 until he died.


"
Joshua Smith,"
(William) Joshua Smith (b. 1905 March 12, Sydney, NSW; d 1995 July 22, Sydney). Known as Joshua Smith, or 'Josh’ to his friends. Traditional painter in oils, and a teacher.
Not to be confused with Josh Smith, a modern New York (USA) artist.
Career
Smith is best known for his portraits, but also created many still life and landscape paintings. His career as a portrait painter was interrupted by World War II, during which he worked as a camouflage artist with Douglas Annand , James Cook, William Dobell , Adrien Feint , Donald Friend , and Robert Emerson Curtis who was their foreman.. From 1967 to 1972, Smith taught portraiture at the Royal Art Society of NSW. He became dissatisfied and left to set up his own school at Lane Cove. Most of his students followed him.. Soon afterward, he appointed his former student Yve Close as assistant teacher. After Smith died in 1995, the school continued for ten years under Close’s direction, until family illness caused her to close it.
Studies
Smith studied drawing and painting with E.M. Smith and sculpture with Rayner Hoff at East Sydney Technical College; drawing and painting at Sydney Art School (now The Julian Ashton Art School), briefly with Julian Ashton , and eight years with Henry C. Gibbons. From 1937 he studied drawing with Adelaide Perry.
Influences
Early and life-long influences were George Washington Lambert , W.B. McInnes, Sir William Orpen and Augustus John. Smith’s sketch- and note-books indicate immense lifelong interest in many artists, such as the old masters Rembrandt, Velazquez, El Greco, Hals and Ribera; and, from the late 1960s, contemporary artists such as Gris and Picasso; and many more. French Impressionists and post-Impressionists broadened Smith’s attitude, especially Cézanne (with landscape) and Lautrec (with portraiture). Australian artist Ivor Hele , who became a friend about 1967, had a strong and lasting influence on Smith’s work.
Painting Style
Smith’s style was traditional, using artists’-quality oils on canvas or hardboard. His preliminary work, at the commencement of a portrait, consisted of a pencil or oil sketch, at times using Chinese White or white chalk on black or brown paper. Smith then enlarged this study to the desired size, using the grid system. Some landscape and still life paintings were approached similarly.When painting on hardboard, he sometimes glued on additional lengths or widths in order to expand the composition. One painting, a finalist in the 1977 Archibald prize, consisted of eleven joined pieces.
He used the following colours, arranged on his palette from left to right: French Ultramarine Blue, Cobalt Blue, Viridian, Cadmium Green, White (Titanium, Flake or Permalba), Cadmium Yellow, Cadmium Yellow Pale, Transparent Gold Ochre, Burnt Sienna, Terra Rosa, Cadmium Red, Alizarin Crimson, and Ivory Black. In earlier paintings he used Chrome Yellow instead of Cadmium Yellow Pale. He introduced Rowney Rose for floral studies and women’s garments.
Typical signature: Joshua Smith in script letters, with the last two digits of the year underneath. (e.g. Joshua Smith 86). For several years from 1938, he signed some paintings Josh, Joshua or J.S., still using the last two digits of the year
Works
Smith’s known works include 543 oils, from c. 1924 to 1995; 179 major drawings, five linocuts, and three portrait sculptures. Numerous previously unknown works in private collections have come to light since 1995. He was a finalist in the Archibald Prize 45 times, having entered a total of 65 portraits.
He is represented in the National Gallery of Australia and the National Portrait Gallery, the National Library, Australian War Memorial, and Federal Parliament, Canberra; the Art Gallery of New South Wales; the Art Gallery of South Australia; Queensland Art Gallery; Queen Victoria Museum and Art Gallery (Launceston, Tasmania); Bathurst Regional Art Gallery (NSW); Rockhampton Art Gallery (Qld); the University of Western Australia, and numerous corporate and private collections. He was represented in the Art of Australia Exhibition sponsored by the Carnegie Corporation and the Museum of Modern Art, shown widely in the USA and Canada.
Recognition
Awards included: 1937, the Sydney Sesquicentenary Prize for 'Best Drawing in any Medium’; 1944, the Archibald Prize; 1962, the Blue Mountains City Art Prize; 1988, The Royal Agricultural Society Easter Show Exhibition, Portrait Section (for portrait of Lloyd Rees, now in Bathurst Regional Art Gallery); 1985, Peter Sparks Memorial Pastel Award; and 1988, Highly Commended in the Doug Moran Portrait Competition.
Smith was an exhibiting member of the NSW Society of Artists from 1930, a Fellow of the Royal Art Society of NSW from 1953, and a member of Drummoyne Municipal Art Society (now Drummoyne Art Society).
Personal
Smith was unmarried. For most of his adult life, he lived alone in his parental home in Earlwood (Sydney).
Smith had a long association with artist Yve Close. She commenced studies with him in 1973 at his Lane Cove School and, within one year, Smith appointed her as assistant teacher. Under his guidance, they painted murals in a Balmain church which led to her becoming his associate and painting partner, a partnership which lasted for 20 years. During his final illness Close, together with her family, took care of him.


"
Wes Stacey,
Constance Stokes,"
painter, was born into an upper middle class family at Miram Piram in Victoria’s Wimmera district, daughter of James Henry Parkin and Mary Jane, née Martin. In 1918, when she was 12 the family moved to Melbourne and later studied at the National Gallery School under Bernard Hall.In 1929 she was awarded the Travelling Scholarship, which led her to London, where she studied at the Royal Academy School. A journey to Paris introduced her to contemporary French art, and after working with André Lhote her style dramatically changed to be influenced by Post Impressionism and Cubism. After returning to Melbourne she held her first exhibition in 1933 just after she married Eric Wyborn Stokes. Soon after their marriage the couple travelled on an extended visit to Europe and she took extra anatomy classes at the Royal Academy.On their return to Melbourne, the demands of married life and the birth of her three children served to restrict her art for many years. She did however exhibit at the first exhibition of the Contemporary Art Society in 1939 and later maintained contact with George Bell through his Thursday night drawing classes. She described herself at this time as ‘half mother and half painter. In 1953 her work was selected for an exhibition of Australian art at the New Burlington Galleries in London.In 1964, two years after her husband’s death, she held the first of many solo exhibitions. In her last years the renewed interest in work by women artists led to her work being included in a number of survey exhibitions. Her final painting, Alice Tumbling Down the Rabbit Hole, was completed in 1990, the year before her death.


"
Tim Storrier,"
In 1968, at age 19, and as the youngest artist ever to be awarded the Sulman Prize, Tim Storrier’s work was afforded a level of public acclaim that was unique in Australia for an artist of his generation. This prestigious award provided a career beginning, which, three decades on, he has successively built upon to establish himself as one of Australia’s most respected and sought-after artists.
To many, Tim Storrier is the contemporary Australian painter who most poignantly conveys the unyielding essence of the Australian landscape: its vast melancholy, its primacy over and beyond all human intervention. As no other artist, Storrier’s oeuvre has encompassed the subtlety of the Australian landscape’s fugitive moods, the silently unfolding vibrancy of its droning expanse. He has searchingly recorded his most personal, intuitive responses to the place of his birthright and his ongoing source and subject for creative revisitation. In recent years, Storrier’s subject matter has extended into a new poetic vein, through two series depicting the spectre of the luminescent southern sky and the impenetrable green ocean.
Tim Storrier has been represented in many prestigious exhibitions, including the Australian Bicentennial Exhibition, Fischer Fine Art, London (1988); 'Windows on Australia 1’, Australian Embassy, Tokyo (1995); 'The Australian Experience’, Galerie Konoha, Japan (1996); and 'The Rose Crossing’ touring exhibition (1999-2000). 'Tim Storrier Drawings 1971-2003’ and 'Dust and Ashes’ were held at Sherman Galleries in 2003.
Tim Storrier has been collected by all major Australian art museums and is included in the collection of the Metropolitan Museum of Art in New York. In 1989, he was appointed a Trustee of the Art Gallery of New South Wales; in 1994, he was awarded the Order of Australia AM for his services to art; and in May 2003, he received a Doctor of Arts (Hons) from Charles Sturt University, New South Wales.


"
David Strachan,"
David Edgar Strachan was born on 25 June 1919, at Salisbury in England. His mother was Eleanor Margery Isobel Strachan née Tapp of Bath, his father, Dr James Charles Power Strachan,  had been a major in the Royal Australian Medical Corps. In 1920 he travelled to Australia, first to his father’s home in Adelaide and then to the old gold mining town of Creswick in Victoria where Dr Strachan became the town doctor. Dr Strachan’s patients included the elderly widowed Jane Elizabeth Lindsay, her daughters and her son Robert. Norman, Lionel and Percy Lindsay were the town’s most famous sons, and their many activities were the stuff of local legend. The youngest Lindsay boy, Daryl was a frequent visitor with his wife the novelist Joan Lindsay. Mrs Strachan in particular befriended Mary Lindsay, so young David was early embedded into a culture where art was a suitable career path.After attending Geelong Grammar school, the 16 year old David travelled to England with his mother, where he enrolled in the Slade School of Fine Art for two years. Here he met and befriended Godfrey Miller. In 1937 he travelled to France where he attended summer classes at the Académie de la Grande Chaumière in Paris and travelled south to paint at Cassis on the Riviera. On his return to Australia in 1938 he enrolled in classes at the George Bell School. In 1941 Strachan moved to Sydney, where there were other artists who shared his interest in classical form and mythologies. He lived at first on the top floor of the home of the artist Jean Bellette and her husband the influential art critic Paul Haefliger. Along with many other artists in their circle they travelled to the picturesque abandoned gold mining town of Hill End. The lively and supportive artistic community of what became known as the bq). Charm Schoolbq). was contrasted with his war work of painting camouflage against possible Japanese bomb attacks.At the end of the War he left Australia for Paris, where he joined with former Sydney friends, Hélène Kirsova and Peter Bellew, who was working for UNESCO. Bellew had included Strachan in an exhibition at the Musée National d’Art Moderne two years earlier, and his work was well received. In 1950 Strachan began to experiment with printmaking, both making individual prints and publishing artists’ books. Along with Alister Kershaw and Jacques Murray he founded Stramur-Presse which printed etchings and lithographs by other artists as well as their own work in exquisite artists’ books. He maintained close friendships with others in the Australian expatriate community including the Haefligers at their Majorca home and undertook extensive painting trips with Moya DyringBy the late 1950s Strachan was increasingly interested in Jungian psychology and spend most of 1957 and 1958 at the C. G. Jung-Institut in Zürich. He returned to Australia in 1960 and in 1963 bought a house in Paddington. The food he made at his Paddington home formed aspects of his carefully considered subject matter. He also became an inspirational teacher of printmaking to young students at East Sydney Technical College, and helped foster a new Australian generation of artists in print.His starkly elegant landscapes and symbolist inspired still-lives were not fashionable with the avant-garde, but remained highly regarded by the Trustees of the Art Gallery of New South Wales,who twice awarded him the Wynne Prize. He did not forget his Creswick past, but when he painted landscapes of abandoned gold mines, his paintings were based on Hill End in NSW, not Creswick in Victoria. His last major painting, Lewers Freehold Mine, an historical re-imagining of what the mine may have looked like in 1874, was given by him to the Creswick Historical Society to honour his late father.David Strachan was returning to Sydney from presenting this work when he died after a motor accident on the Hume Highway on 23 November 1970.


"
Michael Taylor,"
This entry is a stub. Please help by completing it.


"
